"completion_task","observed_timepoint","obsNum","PB"
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.12776528
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.12970003
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.21038808
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.15554442
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.118825845
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.14683792
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.16510049
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.1929001
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.21225889
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.17759626
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.20196399
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.20589365
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.1716841
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.19636747
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.23045866
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.56606394
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.18989457
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.44453645
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.44680294
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.2123056
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.19848847
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.24869831
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.695649
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.23569751
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.17381908
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.22061807
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.1800621
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.52862644
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.706482
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.24051471
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.24384816
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.1742872
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.26586202
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.4562957
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.18123206
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.16329391
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.25465557
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.2780727
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.22668412
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.18029869
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.15618747
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.14469498
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.22249314
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.9989685
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.16475163
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.24519014
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.25670916
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.16845077
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.24863422
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.24349135
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.19717842
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.19356944
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.2837684
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.3109153
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.17429857
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.24761009
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.3311527
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.1899293
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.23291624
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.1979659
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.23475525
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.24154913
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.25930253
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.1534054
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.115991086
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.2179232
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.28926912
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.1388356
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.18717402
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.1853417
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.17823935
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.15685274
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.13422853
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.19988261
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.21754642
"complete view 1 at timepoint 3","timepoint 1 observed","0",1.2750591
"complete view 1 at timepoint 3","timepoint 1 observed","0",1.1477163
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.888722
"complete view 1 at timepoint 3","timepoint 1 observed","0",1.0068091
"complete view 1 at timepoint 3","timepoint 1 observed","0",1.2913952
"complete view 1 at timepoint 3","timepoint 1 observed","0",1.2231272
"complete view 1 at timepoint 3","timepoint 1 observed","0",1.0509049
"complete view 1 at timepoint 3","timepoint 1 observed","0",0.8066301
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.17994682
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.21974644
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.15829878
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.4067676
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.34653154
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.2102387
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.19067894
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.21788289
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.32227927
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.23729824
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.1301286
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.15813708
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.17340812
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.32592902
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.31925327
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.1937317
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.18923762
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.17539291
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.19498032
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.23046374
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.13315976
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.13243394
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.2800558
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.22730732
"complete view 1 at timepoint 3","timepoint 1 observed","100",0.17265028
